"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 14, 2020","5,191.79","5,050.93","5,225.91","5,050.93","-","2.79%"
"Sep 11, 2020","5,050.93","5,062.83","5,139.83","4,966.65","-","-0.24%"
"Sep 10, 2020","5,062.83","5,155.29","5,278.46","5,026.94","-","-1.79%"
"Sep 09, 2020","5,155.29","4,977.51","5,183.48","4,977.51","-","3.57%"
"Sep 08, 2020","4,977.51","5,350.34","5,350.34","4,971.95","-","-6.97%"
"Sep 04, 2020","5,350.34","5,411.72","5,469.19","5,033.98","-","-1.13%"
"Sep 03, 2020","5,411.72","5,758.96","5,758.96","5,356.21","-","-6.03%"
"Sep 02, 2020","5,758.96","5,755.30","5,841.59","5,575.56","-","0.06%"
"Sep 01, 2020","5,755.30","5,680.40","5,786.10","5,667.75","-","1.32%"
"Aug 31, 2020","5,680.40","5,551.14","5,713.03","5,538.55","-","2.33%"
"Aug 28, 2020","5,551.14","5,514.07","5,586.43","5,514.07","-","0.67%"
"Aug 27, 2020","5,514.07","5,564.99","5,589.73","5,451.83","-","-0.92%"
"Aug 26, 2020","5,564.99","5,361.31","5,572.41","5,361.31","-","3.80%"
"Aug 25, 2020","5,361.31","5,302.30","5,365.68","5,258.32","-","1.11%"
"Aug 24, 2020","5,302.30","5,261.98","5,388.39","5,238.80","-","0.77%"
"Aug 21, 2020","5,261.98","5,184.98","5,282.25","5,184.98","-","1.49%"
"Aug 20, 2020","5,184.98","5,085.27","5,194.75","5,045.43","-","1.96%"
"Aug 19, 2020","5,085.27","5,102.59","5,144.64","5,062.98","-","-0.34%"
"Aug 18, 2020","5,102.59","5,032.43","5,121.70","5,032.43","-","1.39%"
"Aug 17, 2020","5,032.43","4,884.40","5,043.11","4,884.40","-","3.03%"