"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 09월 16일","93.132","93.135","93.148","93.112","-","0.05%"
"2020년 09월 15일","93.085","93.070","93.185","92.790","18.64K","0.19%"
"2020년 09월 14일","92.912","93.250","93.300","92.910","3.15K","-0.44%"
"2020년 09월 11일","93.320","93.345","93.375","93.110","11.40K","-0.01%"
"2020년 09월 10일","93.331","93.270","93.450","92.700","21.15K","0.08%"
"2020년 09월 09일","93.258","93.535","93.665","93.125","24.80K","-0.20%"
"2020년 09월 08일","93.441","93.050","93.520","93.000","30.04K","0.78%"
"2020년 09월 07일","92.719","92.800","93.090","92.800","7.78K","0.00%"
"2020년 09월 04일","92.719","92.825","93.245","92.665","25.88K","-0.02%"
"2020년 09월 03일","92.733","92.705","93.085","92.685","20.74K","-0.11%"
"2020년 09월 02일","92.834","92.265","92.875","92.235","24.03K","0.55%"
"2020년 09월 01일","92.325","92.178","92.403","91.737","-","0.21%"
"2020년 08월 31일","92.131","92.300","92.490","91.990","29.09K","-0.27%"
"2020년 08월 28일","92.379","93.030","93.100","92.180","35.37K","-0.66%"
"2020년 08월 27일","92.991","92.835","93.350","92.385","46.98K","-0.01%"
"2020년 08월 26일","92.996","93.020","93.375","92.835","18.76K","-0.02%"
"2020년 08월 25일","93.019","93.270","93.350","92.960","16.29K","-0.29%"
"2020년 08월 24일","93.289","93.215","93.340","92.830","16.20K","0.05%"
"2020년 08월 21일","93.240","92.690","93.480","92.565","25.53K","0.50%"
"2020년 08월 20일","92.778","92.975","93.245","92.710","19.71K","-0.11%"
"2020년 08월 19일","92.880","92.210","93.065","92.145","21.58K","0.67%"
"2020년 08월 18일","92.259","92.820","92.820","92.110","21.71K","-0.63%"
"2020년 08월 17일","92.847","93.035","93.115","92.750","12.46K","-0.26%"
"2020년 08월 14일","93.085","93.245","93.410","92.995","15.38K","-0.25%"
"2020년 08월 13일","93.317","93.365","93.390","92.905","19.29K","-0.10%"
"2020년 08월 12일","93.408","93.655","93.895","93.210","20.59K","-0.21%"
"2020년 08월 11일","93.600","93.595","93.735","93.140","23.50K","0.03%"
"2020년 08월 10일","93.569","93.415","93.685","93.275","15.75K","0.17%"
"2020년 08월 07일","93.412","92.785","93.625","92.740","25.84K","0.69%"
"2020년 08월 06일","92.768","92.780","93.085","92.475","24.33K","-0.09%"
"2020년 08월 05일","92.850","93.145","93.235","92.535","20.13K","-0.57%"
"2020년 08월 04일","93.378","93.505","93.815","93.215","18.00K","-0.14%"
"2020년 08월 03일","93.507","93.390","93.980","93.295","24.99K","0.20%"
"2020년 07월 31일","93.321","92.775","93.525","92.510","28.57K","0.34%"
"2020년 07월 30일","93.009","93.305","93.640","92.890","26.95K","-0.45%"
"2020년 07월 29일","93.432","93.710","93.770","93.120","24.75K","-0.23%"
"2020년 07월 28일","93.647","93.490","93.965","93.450","23.58K","0.03%"
"2020년 07월 27일","93.615","94.345","94.375","93.420","23.56K","-0.81%"
"2020년 07월 24일","94.380","94.750","94.780","94.100","18.25K","-0.28%"
"2020년 07월 23일","94.649","94.955","95.150","94.540","17.88K","-0.30%"
"2020년 07월 22일","94.930","95.090","95.375","94.775","17.68K","-0.14%"
"2020년 07월 21일","95.060","95.700","95.870","94.980","24.68K","-0.74%"
"2020년 07월 20일","95.772","96.000","96.145","95.675","18.20K","-0.12%"
"2020년 07월 17일","95.889","96.260","96.295","95.845","11.60K","-0.45%"
"2020년 07월 16일","96.319","95.975","96.380","95.845","18.27K","0.29%"
"2020년 07월 15일","96.039","96.120","96.215","95.720","14.53K","-0.17%"
"2020년 07월 14일","96.207","96.520","96.670","96.125","12.97K","-0.21%"
"2020년 07월 13일","96.407","96.585","96.640","96.205","18.71K","-0.21%"
"2020년 07월 10일","96.614","96.745","96.960","96.395","16.73K","-0.06%"
"2020년 07월 09일","96.673","96.415","96.780","96.180","21.92K","0.32%"
"2020년 07월 08일","96.368","96.910","97.005","96.345","18.91K","-0.49%"
"2020년 07월 07일","96.839","96.700","97.105","96.555","16.29K","0.16%"
"2020년 07월 06일","96.682","97.190","97.190","96.500","20.09K","-0.64%"
"2020년 07월 03일","97.301","97.210","97.350","97.145","5.24K","0.00%"
"2020년 07월 02일","97.301","97.140","97.335","96.790","17.42K","0.15%"
"2020년 07월 01일","97.155","97.375","97.615","96.985","16.05K","-0.20%"
"2020년 06월 30일","97.349","97.390","97.810","97.185","18.34K","-0.16%"
"2020년 06월 29일","97.501","97.475","97.610","97.085","13.59K","0.10%"
"2020년 06월 26일","97.404","97.335","97.665","97.235","10.76K","0.02%"
"2020년 06월 25일","97.388","97.210","97.585","97.135","16.12K","0.27%"
"2020년 06월 24일","97.129","96.605","97.205","96.500","18.30K","0.54%"
"2020년 06월 23일","96.608","96.840","97.215","96.320","21.21K","-0.39%"
"2020년 06월 22일","96.985","97.630","97.700","96.940","15.16K","-0.61%"
"2020년 06월 19일","97.577","97.400","97.700","97.115","18.10K","0.18%"
"2020년 06월 18일","97.400","97.080","97.555","96.930","13.31K","0.26%"
"2020년 06월 17일","97.144","96.950","97.350","96.765","15.42K","0.22%"
"2020년 06월 16일","96.933","96.490","97.240","96.385","21.71K","-0.05%"
"2020년 06월 15일","96.978","97.170","97.385","97.035","0.54K","-0.34%"
"2020년 06월 12일","97.305","96.835","97.455","96.505","7.39K","0.59%"
"2020년 06월 11일","96.739","96.145","96.820","95.945","16.97K","0.82%"
"2020년 06월 10일","95.950","96.445","96.465","95.705","29.44K","-0.39%"
"2020년 06월 09일","96.321","96.635","97.065","96.215","19.69K","-0.30%"
"2020년 06월 08일","96.608","96.935","97.065","96.580","19.42K","-0.32%"
"2020년 06월 05일","96.922","96.765","97.050","96.430","23.99K","0.27%"
"2020년 06월 04일","96.657","97.320","97.635","96.560","30.71K","-0.62%"
"2020년 06월 03일","97.259","97.570","97.615","97.155","25.24K","-0.41%"
"2020년 06월 02일","97.659","97.860","97.900","97.420","15.32K","-0.16%"
"2020년 06월 01일","97.820","98.265","98.335","97.770","15.02K","-0.53%"
"2020년 05월 29일","98.341","98.470","98.550","97.935","21.71K","-0.03%"
"2020년 05월 28일","98.372","98.930","99.095","98.335","25.98K","-0.69%"
"2020년 05월 27일","99.058","99.010","99.360","98.715","20.95K","0.15%"
"2020년 05월 26일","98.906","99.760","99.785","98.895","18.17K","-0.98%"
"2020년 05월 25일","99.888","99.790","99.995","99.700","4.07K","0.00%"
"2020년 05월 22일","99.888","99.445","99.900","99.400","13.88K","0.49%"
"2020년 05월 21일","99.403","99.180","99.540","99.030","11.52K","0.27%"
"2020년 05월 20일","99.135","99.560","99.570","99.005","13.17K","-0.23%"
"2020년 05월 19일","99.366","99.635","99.755","99.245","18.18K","-0.32%"
"2020년 05월 18일","99.681","100.435","100.515","99.595","17.63K","-0.75%"
"2020년 05월 15일","100.434","100.305","100.515","100.095","12.71K","-0.07%"
"2020년 05월 14일","100.507","100.245","100.605","100.200","13.87K","0.22%"
"2020년 05월 13일","100.291","100.055","100.325","99.585","14.30K","0.34%"
"2020년 05월 12일","99.956","100.270","100.510","99.685","12.08K","-0.31%"
"2020년 05월 11일","100.270","99.860","100.350","99.690","14.20K","0.50%"
"2020년 05월 08일","99.769","99.840","99.970","99.460","11.06K","-0.14%"
"2020년 05월 07일","99.906","100.265","100.455","99.825","13.98K","-0.23%"
"2020년 05월 06일","100.136","99.840","100.265","99.800","8.86K","0.37%"
"2020년 05월 05일","99.762","99.580","100.070","99.375","12.35K","0.20%"
"2020년 05월 04일","99.567","99.100","99.655","99.090","14.59K","0.47%"
"2020년 05월 01일","99.100","99.130","99.225","98.765","12.23K","0.07%"
"2020년 04월 30일","99.028","99.550","99.800","98.830","26.66K","-0.62%"
"2020년 04월 29일","99.644","99.935","99.955","99.515","10.39K","-0.29%"
"2020년 04월 28일","99.934","100.155","100.295","99.485","13.66K","-0.16%"
"2020년 04월 27일","100.097","100.270","100.370","99.840","11.46K","-0.34%"
"2020년 04월 24일","100.434","100.615","100.975","100.250","11.91K","-0.10%"
"2020년 04월 23일","100.535","100.595","100.850","100.120","22.23K","0.01%"
"2020년 04월 22일","100.528","100.330","100.625","99.990","11.26K","0.15%"
"2020년 04월 21일","100.374","100.055","100.630","100.030","16.31K","0.32%"
"2020년 04월 20일","100.058","99.770","100.185","99.750","13.17K","0.22%"
"2020년 04월 17일","99.836","99.970","100.355","99.660","12.80K","-0.26%"
"2020년 04월 16일","100.100","99.670","100.390","99.640","13.51K","0.62%"
"2020년 04월 15일","99.486","98.820","100.060","98.820","15.57K","0.61%"
"2020년 04월 14일","98.885","99.380","99.435","98.815","11.13K","-0.45%"
"2020년 04월 13일","99.336","99.495","99.640","99.110","9.03K","-0.17%"
"2020년 04월 09일","99.504","100.200","100.345","99.310","16.15K","-0.66%"
"2020년 04월 08일","100.170","99.980","100.510","99.950","11.10K","0.26%"
"2020년 04월 07일","99.914","100.830","100.830","99.715","15.56K","-0.83%"
"2020년 04월 06일","100.755","100.865","101.030","100.535","11.18K","0.08%"
"2020년 04월 03일","100.677","100.305","100.965","100.240","10.32K","0.40%"
"2020년 04월 02일","100.271","99.625","100.500","99.445","12.72K","0.52%"
"2020년 04월 01일","99.753","99.025","99.915","98.955","12.13K","0.67%"
"2020년 03월 31일","99.092","99.285","100.125","98.875","18.58K","-0.19%"
"2020년 03월 30일","99.281","98.430","99.445","98.395","11.21K","0.76%"
"2020년 03월 27일","98.537","99.430","100.020","98.345","15.81K","-0.92%"
"2020년 03월 26일","99.453","100.970","101.080","99.365","15.00K","-1.53%"
"2020년 03월 25일","100.997","101.865","102.110","100.835","13.89K","-1.22%"
"2020년 03월 24일","102.247","102.830","102.915","101.555","20.69K","-0.96%"
"2020년 03월 23일","103.240","103.150","103.960","102.300","21.53K","-0.25%"
"2020년 03월 20일","103.502","103.780","103.825","101.905","23.16K","-0.10%"
"2020년 03월 19일","103.605","101.130","103.700","101.045","34.70K","2.03%"
"2020년 03월 18일","101.543","99.695","102.040","99.385","26.16K","1.74%"
"2020년 03월 17일","99.804","98.225","100.075","98.105","26.90K","1.59%"
"2020년 03월 16일","98.240","97.985","98.470","97.555","0.13K","-0.53%"
"2020년 03월 13일","98.764","97.495","98.845","97.335","17.20K","1.33%"
"2020년 03월 12일","97.464","96.620","98.335","96.055","44.99K","1.01%"
"2020년 03월 11일","96.492","96.285","96.610","95.900","37.23K","0.11%"
"2020년 03월 10일","96.389","95.375","96.580","95.180","64.64K","1.60%"
"2020년 03월 09일","94.870","95.720","95.780","94.610","102.13K","-1.11%"
"2020년 03월 06일","95.934","96.645","96.655","95.685","42.51K","-0.88%"
"2020년 03월 05일","96.790","97.345","97.410","96.490","24.40K","-0.53%"
"2020년 03월 04일","97.307","97.145","97.565","97.070","22.20K","0.19%"
"2020년 03월 03일","97.122","97.520","97.655","96.875","51.42K","-0.20%"
"2020년 03월 02일","97.319","97.985","98.045","97.135","45.68K","-0.78%"
"2020년 02월 28일","98.081","98.390","98.615","97.910","41.69K","-0.39%"
"2020년 02월 27일","98.461","98.965","98.995","98.295","28.47K","-0.48%"
"2020년 02월 26일","98.938","98.990","99.200","98.850","18.10K","0.04%"
"2020년 02월 25일","98.901","99.260","99.320","98.810","22.34K","-0.39%"
"2020년 02월 24일","99.284","99.380","99.570","99.030","23.27K","0.10%"
"2020년 02월 21일","99.188","99.765","99.790","99.140","23.26K","-0.59%"
"2020년 02월 20일","99.776","99.470","99.815","99.445","18.07K","0.18%"
"2020년 02월 19일","99.597","99.315","99.620","99.275","14.00K","0.27%"
"2020년 02월 18일","99.333","99.100","99.375","99.030","13.76K","0.33%"
"2020년 02월 17일","99.003","99.030","99.095","98.935","3.91K","0.00%"
"2020년 02월 14일","99.003","98.995","99.045","98.875","16.18K","0.05%"
"2020년 02월 13일","98.958","98.895","99.010","98.745","12.79K","0.04%"
"2020년 02월 12일","98.922","98.665","98.925","98.580","14.97K","0.33%"
"2020년 02월 11일","98.594","98.750","98.855","98.585","14.35K","-0.12%"
"2020년 02월 10일","98.714","98.570","98.770","98.490","11.20K","0.15%"
"2020년 02월 07일","98.571","98.335","98.600","98.300","13.51K","0.19%"
"2020년 02월 06일","98.381","98.180","98.445","98.075","14.24K","0.23%"
"2020년 02월 05일","98.158","97.800","98.180","97.760","18.14K","0.36%"
"2020년 02월 04일","97.809","97.645","97.855","97.635","11.60K","0.19%"
"2020년 02월 03일","97.625","97.245","97.755","97.230","18.79K","0.42%"
"2020년 01월 31일","97.213","97.685","97.790","97.165","19.45K","-0.50%"
"2020년 01월 30일","97.706","97.860","97.910","97.620","15.51K","-0.12%"
"2020년 01월 29일","97.819","97.780","98.005","97.760","10.09K","-0.02%"
"2020년 01월 28일","97.835","97.745","97.975","97.715","10.15K","0.07%"
"2020년 01월 27일","97.767","97.640","97.800","97.590","17.92K","0.12%"
"2020년 01월 24일","97.650","97.490","97.740","97.450","16.25K","0.17%"
"2020년 01월 23일","97.484","97.305","97.590","97.185","18.07K","0.19%"
"2020년 01월 22일","97.295","97.380","97.460","97.150","12.49K","0.00%"
"2020년 01월 21일","97.294","97.385","97.420","97.150","11.01K","-0.07%"
"2020년 01월 20일","97.359","97.400","97.485","97.335","4.74K","0.00%"
"2020년 01월 17일","97.359","97.070","97.410","97.010","12.42K","0.31%"
"2020년 01월 16일","97.062","96.935","97.115","96.815","11.83K","0.11%"
"2020년 01월 15일","96.960","97.095","97.180","96.885","10.98K","-0.14%"
"2020년 01월 14일","97.094","97.090","97.305","97.045","8.81K","0.04%"
"2020년 01월 13일","97.060","97.100","97.245","97.020","8.53K","-0.02%"
"2020년 01월 10일","97.078","97.145","97.300","97.005","10.77K","-0.09%"
"2020년 01월 09일","97.162","96.985","97.275","96.955","11.37K","0.17%"
"2020년 01월 08일","96.996","96.560","97.040","96.525","13.73K","0.30%"
"2020년 01월 07일","96.702","96.370","96.795","96.310","11.61K","0.37%"
"2020년 01월 06일","96.350","96.565","96.585","96.230","10.96K","-0.18%"
"2020년 01월 03일","96.521","96.440","96.795","96.395","12.64K","-0.00%"
"2020년 01월 02일","96.525","96.140","96.560","96.100","17.44K","0.49%"